recId|SeqNumber|seqLength|displayLatitude|displayLongitude|district|county|city|postalCode|state|country
35929|0|0||||||||
35990|0|0||||||||
36066|0|0||||||||
36070|0|0||||||||
36169|0|0||||||||
36222|0|0||||||||
36279|0|0||||||||
36280|0|0||||||||
36299|0|0||||||||
36304|0|0||||||||
36319|0|0||||||||
36320|0|0||||||||
36366|0|0||||||||
36388|0|0||||||||
36446|0|0||||||||
36559|0|0||||||||
36564|0|0||||||||
36699|0|0||||||||
36706|0|0||||||||
36710|0|0||||||||
36766|0|0||||||||
36769|0|0||||||||
36822|0|0||||||||
36844|0|0||||||||
36853|0|0||||||||
36889|0|0||||||||
36943|0|0||||||||
36961|0|0||||||||
36964|0|0||||||||
36968|0|0||||||||
37002|0|0||||||||
37023|0|0||||||||
37024|0|0||||||||
37025|0|0||||||||
37029|0|0||||||||
37052|0|0||||||||
37350|0|0||||||||
37354|0|0||||||||
37359|0|0||||||||
37377|0|0||||||||
37443|0|0||||||||
37549|0|0||||||||
37577|0|0||||||||
37609|0|0||||||||
37615|0|0||||||||
37810|0|0||||||||
37920|0|0||||||||
37974|0|0||||||||
37988|0|0||||||||
38011|0|0||||||||
38029|0|0||||||||
38042|0|0||||||||
38083|0|0||||||||
38103|0|0||||||||
38114|0|0||||||||
38135|0|0||||||||
38184|0|0||||||||
38193|0|0||||||||
38210|0|0||||||||
38240|0|0||||||||
38278|0|0||||||||
38281|0|0||||||||
38282|0|0||||||||
38287|0|0||||||||
38317|0|0||||||||
38324|0|0||||||||
38347|0|0||||||||
38350|0|0||||||||
38796|0|0||||||||
39358|0|0||||||||
39555|0|0||||||||
39571|0|0||||||||
39644|0|0||||||||
39673|0|0||||||||
39812|0|0||||||||
39896|0|0||||||||
40085|0|0||||||||
40144|0|0||||||||
40184|0|0||||||||
40421|0|0||||||||
40461|0|0||||||||
40641|0|0||||||||
40706|0|0||||||||
40774|0|0||||||||
40813|0|0||||||||
40866|0|0||||||||
40923|0|0||||||||
40974|0|0||||||||
40996|0|0||||||||
40997|0|0||||||||
41019|0|0||||||||
41085|0|0||||||||
41089|0|0||||||||
41110|0|0||||||||
41118|0|0||||||||
41168|0|0||||||||
41170|0|0||||||||
41188|0|0||||||||
41190|0|0||||||||
41199|0|0||||||||
41201|0|0||||||||
41238|0|0||||||||
41239|0|0||||||||
41253|0|0||||||||
41257|0|0||||||||
41261|0|0||||||||
41262|0|0||||||||
41263|0|0||||||||
41265|0|0||||||||
41266|0|0||||||||
41268|0|0||||||||
41270|0|0||||||||
41288|0|0||||||||
41312|0|0||||||||
41336|0|0||||||||
41343|0|0||||||||
41358|0|0||||||||
41363|0|0||||||||
41365|0|0||||||||
41367|0|0||||||||
41373|0|0||||||||
41377|0|0||||||||
41399|0|0||||||||
41402|0|0||||||||
41416|0|0||||||||
41433|0|0||||||||
41440|0|0||||||||
41524|0|0||||||||
41543|0|0||||||||
41546|0|0||||||||
41548|0|0||||||||
41558|0|0||||||||
41560|0|0||||||||
41572|0|0||||||||
41591|0|0||||||||
41626|0|0||||||||
41662|0|0||||||||
41685|0|0||||||||
41687|0|0||||||||
41694|0|0||||||||
41711|0|0||||||||
41723|0|0||||||||
41725|0|0||||||||
41727|0|0||||||||
41728|0|0||||||||
41749|0|0||||||||
41752|0|0||||||||
41757|0|0||||||||
41763|0|0||||||||
41787|0|0||||||||
41795|0|0||||||||
41797|0|0||||||||
41805|0|0||||||||
41809|0|0||||||||
41822|0|0||||||||
41836|0|0||||||||
41837|0|0||||||||
42209|0|0||||||||
42210|0|0||||||||
42211|0|0||||||||
42213|0|0||||||||
42214|0|0||||||||
42217|0|0||||||||
42218|0|0||||||||
42219|0|0||||||||
42220|0|0||||||||
42221|0|0||||||||
42222|0|0||||||||
42223|0|0||||||||
42224|0|0||||||||
42225|0|0||||||||
42226|0|0||||||||
42227|0|0||||||||
42228|0|0||||||||
42229|0|0||||||||
42230|0|0||||||||
42232|0|0||||||||
42233|0|0||||||||
42234|0|0||||||||
42235|0|0||||||||
42236|0|0||||||||
42237|0|0||||||||
42238|0|0||||||||
42239|0|0||||||||
42240|0|0||||||||
42241|0|0||||||||
42242|0|0||||||||
42243|0|0||||||||
42244|0|0||||||||
42245|0|0||||||||
42246|0|0||||||||
42247|0|0||||||||
42248|0|0||||||||
42249|0|0||||||||
42250|0|0||||||||
42251|0|0||||||||
42252|0|0||||||||
42253|0|0||||||||
42254|0|0||||||||
42255|0|0||||||||
42258|0|0||||||||
42259|0|0||||||||
42260|0|0||||||||
42261|0|0||||||||
42263|0|0||||||||
42264|0|0||||||||
42265|0|0||||||||
42266|0|0||||||||
42267|0|0||||||||
42268|0|0||||||||
42270|0|0||||||||
42271|0|0||||||||
42272|0|0||||||||
42273|0|0||||||||
42274|0|0||||||||
42276|0|0||||||||
42277|0|0||||||||
42278|0|0||||||||
42279|0|0||||||||
42280|0|0||||||||
42282|0|0||||||||
42283|0|0||||||||
42284|0|0||||||||
42285|0|0||||||||
42286|0|0||||||||
42287|0|0||||||||
42288|0|0||||||||
42290|0|0||||||||
42291|0|0||||||||
42292|0|0||||||||
42293|0|0||||||||
42294|0|0||||||||
42295|0|0||||||||
42296|0|0||||||||
42297|0|0||||||||
42298|0|0||||||||
42299|0|0||||||||
42310|0|0||||||||
42383|0|0||||||||
42385|0|0||||||||
43106|0|0||||||||
43230|0|0||||||||
43497|0|0||||||||
43501|0|0||||||||
43524|0|0||||||||
43531|0|0||||||||
43545|0|0||||||||
43546|0|0||||||||
43559|0|0||||||||
43560|0|0||||||||
43573|0|0||||||||
43580|0|0||||||||
43598|0|0||||||||
43616|0|0||||||||
43617|0|0||||||||
43622|0|0||||||||
43641|0|0||||||||
43643|0|0||||||||
43660|0|0||||||||
43747|0|0||||||||
44709|0|0||||||||
44743|0|0||||||||
44756|0|0||||||||
44757|0|0||||||||
44803|0|0||||||||
44829|0|0||||||||
45245|0|0||||||||
45254|0|0||||||||
45307|0|0||||||||
45537|0|0||||||||
45588|0|0||||||||
45625|0|0||||||||
45721|0|0||||||||
45831|0|0||||||||
45842|0|0||||||||
46195|0|0||||||||
46256|0|0||||||||
46355|0|0||||||||
47211|0|0||||||||
48938|0|0||||||||
48957|0|0||||||||
48961|0|0||||||||
49005|0|0||||||||
49289|0|0||||||||
50163|0|0||||||||
50198|0|0||||||||
50233|0|0||||||||
50335|0|0||||||||
50390|0|0||||||||
50973|0|0||||||||
51506|0|0||||||||
51569|0|0||||||||
51574|0|0||||||||
51579|0|0||||||||
51593|0|0||||||||
51620|0|0||||||||
51629|0|0||||||||
51639|0|0||||||||
51725|0|0||||||||
52082|0|0||||||||
52085|0|0||||||||
52087|0|0||||||||
52090|0|0||||||||
52092|0|0||||||||
52093|0|0||||||||
52099|0|0||||||||
52100|0|0||||||||
52101|0|0||||||||
52102|0|0||||||||
52105|0|0||||||||
52109|0|0||||||||
52195|0|0||||||||
52199|0|0||||||||
52200|0|0||||||||
52201|0|0||||||||
52207|0|0||||||||
52454|0|0||||||||
52457|0|0||||||||
52467|0|0||||||||
52493|0|0||||||||
52508|0|0||||||||
52645|0|0||||||||
52784|0|0||||||||
53130|0|0||||||||
53132|0|0||||||||
53133|0|0||||||||
53136|0|0||||||||
53137|0|0||||||||
53139|0|0||||||||
53140|0|0||||||||
53141|0|0||||||||
53143|0|0||||||||
53145|0|0||||||||
53146|0|0||||||||
53147|0|0||||||||
53148|0|0||||||||
53149|0|0||||||||
53151|0|0||||||||
53152|0|0||||||||
53154|0|0||||||||
53156|0|0||||||||
53158|0|0||||||||
53159|0|0||||||||
53161|0|0||||||||
53162|0|0||||||||
53164|0|0||||||||
53165|0|0||||||||
53166|0|0||||||||
53167|0|0||||||||
53168|0|0||||||||
53169|0|0||||||||
53339|0|0||||||||
53436|0|0||||||||
53535|0|0||||||||
53584|0|0||||||||
53682|0|0||||||||
53787|0|0||||||||
53795|0|0||||||||
53801|0|0||||||||
53818|0|0||||||||
53903|0|0||||||||
53980|0|0||||||||
54316|0|0||||||||
54335|0|0||||||||
54347|0|0||||||||
54418|0|0||||||||
54461|0|0||||||||
54628|0|0||||||||
54771|0|0||||||||
54880|0|0||||||||
54919|0|0||||||||
54981|0|0||||||||
55267|0|0||||||||
55445|0|0||||||||
55537|0|0||||||||
55605|0|0||||||||
55606|0|0||||||||
55607|0|0||||||||
55611|0|0||||||||
55614|0|0||||||||
55615|0|0||||||||
55616|0|0||||||||
55617|0|0||||||||
55618|0|0||||||||
55621|0|0||||||||
55623|0|0||||||||
55624|0|0||||||||
55625|0|0||||||||
55626|0|0||||||||
55629|0|0||||||||
55630|0|0||||||||
55632|0|0||||||||
55633|0|0||||||||
55639|0|0||||||||
55640|0|0||||||||
55641|0|0||||||||
55642|0|0||||||||
55644|0|0||||||||
55647|0|0||||||||
55648|0|0||||||||
55649|0|0||||||||
55650|0|0||||||||
55651|0|0||||||||
55652|0|0||||||||
55653|0|0||||||||
55654|0|0||||||||
55655|0|0||||||||
55656|0|0||||||||
55657|0|0||||||||
55662|0|0||||||||
55665|0|0||||||||
55666|0|0||||||||
55667|0|0||||||||
55669|0|0||||||||
55672|0|0||||||||
55716|0|0||||||||
55837|0|0||||||||
55952|0|0||||||||
55965|0|0||||||||
55966|0|0||||||||
55967|0|0||||||||
55987|0|0||||||||
55992|0|0||||||||
55998|0|0||||||||
56024|0|0||||||||
56025|0|0||||||||
56045|0|0||||||||
56054|0|0||||||||
56055|0|0||||||||
56061|0|0||||||||
56107|0|0||||||||
56171|0|0||||||||
56194|0|0||||||||
56210|0|0||||||||
56217|0|0||||||||
56236|0|0||||||||
56253|0|0||||||||
56280|0|0||||||||
56361|0|0||||||||
56391|0|0||||||||
56526|0|0||||||||
56552|0|0||||||||
56560|0|0||||||||
56598|0|0||||||||
56708|0|0||||||||
56712|0|0||||||||
56928|0|0||||||||
57286|0|0||||||||
57289|0|0||||||||
57307|0|0||||||||
57378|0|0||||||||
57385|0|0||||||||
57425|0|0||||||||
57441|0|0||||||||
57449|0|0||||||||
57467|0|0||||||||
57476|0|0||||||||
57512|0|0||||||||
57572|0|0||||||||
57576|0|0||||||||
57594|0|0||||||||
57622|0|0||||||||
57626|0|0||||||||
57634|0|0||||||||
57680|0|0||||||||
57735|0|0||||||||
57825|0|0||||||||
57886|0|0||||||||
57912|0|0||||||||
57941|0|0||||||||
58278|0|0||||||||
58358|0|0||||||||
58459|0|0||||||||
58481|0|0||||||||
58583|0|0||||||||
59464|0|0||||||||
59465|0|0||||||||
59466|0|0||||||||
59467|0|0||||||||
59648|0|0||||||||
59676|0|0||||||||
59690|0|0||||||||
60024|0|0||||||||
60025|0|0||||||||
60041|0|0||||||||
60157|0|0||||||||
60288|0|0||||||||
60321|0|0||||||||
60393|0|0||||||||
60658|0|0||||||||
60816|0|0||||||||
60825|0|0||||||||
60988|0|0||||||||
61748|0|0||||||||
62098|0|0||||||||
62494|0|0||||||||
62495|0|0||||||||
62500|0|0||||||||
62520|0|0||||||||
62651|0|0||||||||
62863|0|0||||||||
63139|0|0||||||||
63233|0|0||||||||
63234|0|0||||||||
63427|0|0||||||||
63464|0|0||||||||
63540|0|0||||||||
63544|0|0||||||||
63549|0|0||||||||
63566|0|0||||||||
63674|0|0||||||||
63787|0|0||||||||
63876|0|0||||||||
64097|0|0||||||||
64126|0|0||||||||
64127|0|0||||||||
64145|0|0||||||||
64166|0|0||||||||
64203|0|0||||||||
64211|0|0||||||||
64263|0|0||||||||
64275|0|0||||||||
64318|0|0||||||||
64319|0|0||||||||
64321|0|0||||||||
64324|0|0||||||||
64325|0|0||||||||
64326|0|0||||||||
64327|0|0||||||||
64328|0|0||||||||
64390|0|0||||||||
64511|0|0||||||||
64524|0|0||||||||
64532|0|0||||||||
64739|0|0||||||||
64827|0|0||||||||
64834|0|0||||||||
64835|0|0||||||||
64853|0|0||||||||
64874|0|0||||||||
64891|0|0||||||||
64922|0|0||||||||
64926|0|0||||||||
64930|0|0||||||||
65068|0|0||||||||
65069|0|0||||||||
65082|0|0||||||||
65084|0|0||||||||
65103|0|0||||||||
65131|0|0||||||||
65139|0|0||||||||
65150|0|0||||||||
65173|0|0||||||||
65219|0|0||||||||
65258|0|0||||||||
65284|0|0||||||||
65356|0|0||||||||
65359|0|0||||||||
65367|0|0||||||||
65412|0|0||||||||
65415|0|0||||||||
65516|0|0||||||||
65524|0|0||||||||
65534|0|0||||||||
65535|0|0||||||||
65554|0|0||||||||
65568|0|0||||||||
65570|0|0||||||||
65583|0|0||||||||
65587|0|0||||||||
65610|0|0||||||||
65620|0|0||||||||
65635|0|0||||||||
65642|0|0||||||||
65652|0|0||||||||
65661|0|0||||||||
65665|0|0||||||||
65671|0|0||||||||
65674|0|0||||||||
65683|0|0||||||||
65690|0|0||||||||
65704|0|0||||||||
65734|0|0||||||||
65775|0|0||||||||
65808|0|0||||||||
65830|0|0||||||||
65840|0|0||||||||
65843|0|0||||||||
65857|0|0||||||||
65866|0|0||||||||
65887|0|0||||||||
65896|0|0||||||||
65901|0|0||||||||
65905|0|0||||||||
65961|0|0||||||||
65964|0|0||||||||
65987|0|0||||||||
65992|0|0||||||||
65999|0|0||||||||
66026|0|0||||||||
66053|0|0||||||||
66054|0|0||||||||
66061|0|0||||||||
66062|0|0||||||||
66067|0|0||||||||
66068|0|0||||||||
66070|0|0||||||||
66089|0|0||||||||
66091|0|0||||||||
66132|0|0||||||||
66142|0|0||||||||
66157|0|0||||||||
66178|0|0||||||||
66187|0|0||||||||
66206|0|0||||||||
66208|0|0||||||||
66238|0|0||||||||
66245|0|0||||||||
66253|0|0||||||||
66263|0|0||||||||
66344|0|0||||||||
66665|0|0||||||||
66697|0|0||||||||
66721|0|0||||||||
66829|0|0||||||||
66849|0|0||||||||
66973|0|0||||||||
67090|0|0||||||||
67137|0|0||||||||
67227|0|0||||||||
67288|0|0||||||||
67295|0|0||||||||
67345|0|0||||||||
67424|0|0||||||||
67438|0|0||||||||
67476|0|0||||||||
67497|0|0||||||||
67498|0|0||||||||
67499|0|0||||||||
67511|0|0||||||||
67514|0|0||||||||
67515|0|0||||||||
67516|0|0||||||||
67865|0|0||||||||
68009|0|0||||||||
68027|0|0||||||||
68353|0|0||||||||
68355|0|0||||||||
68357|0|0||||||||
68537|0|0||||||||
68816|0|0||||||||
69094|0|0||||||||
69103|0|0||||||||
69109|0|0||||||||
69113|0|0||||||||
69124|0|0||||||||
69130|0|0||||||||
69133|0|0||||||||
69145|0|0||||||||
69152|0|0||||||||
69166|0|0||||||||
69168|0|0||||||||
69185|0|0||||||||
69200|0|0||||||||
69206|0|0||||||||
69246|0|0||||||||
69252|0|0||||||||
69253|0|0||||||||
69255|0|0||||||||
69256|0|0||||||||
69257|0|0||||||||
69279|0|0||||||||
69281|0|0||||||||
69283|0|0||||||||
69288|0|0||||||||
69289|0|0||||||||
69292|0|0||||||||
69295|0|0||||||||
69296|0|0||||||||
69298|0|0||||||||
69299|0|0||||||||
69361|0|0||||||||
69656|0|0||||||||
69735|0|0||||||||
70015|0|0||||||||
70016|0|0||||||||
70306|0|0||||||||
70311|0|0||||||||
70363|0|0||||||||
70373|0|0||||||||
70407|0|0||||||||
70410|0|0||||||||
70432|0|0||||||||
70517|0|0||||||||
70554|0|0||||||||
70568|0|0||||||||
70648|0|0||||||||
70731|0|0||||||||
70807|0|0||||||||
70815|0|0||||||||
71023|0|0||||||||
71024|0|0||||||||
71025|0|0||||||||
71026|0|0||||||||
71028|0|0||||||||
71037|0|0||||||||
71038|0|0||||||||
71039|0|0||||||||
71040|0|0||||||||
71041|0|0||||||||
71042|0|0||||||||
71046|0|0||||||||
71047|0|0||||||||
71048|0|0||||||||
71049|0|0||||||||
71050|0|0||||||||
71051|0|0||||||||
71056|0|0||||||||
71057|0|0||||||||
71059|0|0||||||||
71061|0|0||||||||
71062|0|0||||||||
71063|0|0||||||||
71067|0|0||||||||
71070|0|0||||||||
71074|0|0||||||||
71075|0|0||||||||
71078|0|0||||||||
71082|0|0||||||||
71208|0|0||||||||
71210|0|0||||||||
71260|0|0||||||||
71327|0|0||||||||
71418|0|0||||||||
71424|0|0||||||||
71427|0|0||||||||
71432|0|0||||||||
71483|0|0||||||||
71643|0|0||||||||
71651|0|0||||||||
71661|0|0||||||||
71692|0|0||||||||
71700|0|0||||||||
71747|0|0||||||||
71748|0|0||||||||
71749|0|0||||||||
71752|0|0||||||||
71835|0|0||||||||
